client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250921-060000-001-000-34,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-032,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-365,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115825.79999999999,0.0,['69.49548000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1aece0e7-f480-42f6-9417-e383c1a37c38,2025-09-21 06:00:00+00:00,2025-09-21 06:00:00+00:00
O-20250921-070000-001-000-35,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-033,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-367,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115849.90000000001,0.0,['69.50994000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d1fc03ad-85a0-49e1-bc50-36fdeda483e3,2025-09-21 07:00:00+00:00,2025-09-21 07:00:00+00:00
O-20250921-100000-001-000-36,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-034,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-372,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115589.9981346439,0.0,['69.35399862 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6b24203d-980c-4094-97d3-40dba4cdf591,2025-09-21 10:00:00+00:00,2025-09-21 10:00:00+00:00
O-20250921-110000-001-000-37,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-035,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-374,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115662.9,0.0,['69.39774000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7d4f4848-ce86-4cd3-81a3-a727e642369c,2025-09-21 11:00:00+00:00,2025-09-21 11:00:00+00:00
O-20250921-140000-001-000-38,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-036,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-378,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115615.1,0.0,['69.36906000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a458f8ac-936e-47be-a4ca-53c827a3e8c7,2025-09-21 14:00:00+00:00,2025-09-21 14:00:00+00:00
O-20250921-150000-001-000-39,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-037,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-380,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115600.0,0.0,['69.36000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0ef68cfc-6550-440e-8f3d-d04d8b61c66c,2025-09-21 15:00:00+00:00,2025-09-21 15:00:00+00:00
O-20250921-180000-001-000-40,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-038,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-385,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115593.09933132745,0.0,['69.35585957 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,44eb0715-4395-493d-adc9-600458fb9673,2025-09-21 18:00:00+00:00,2025-09-21 18:00:00+00:00
O-20250921-190000-001-000-41,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-039,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-387,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115518.20000000001,0.0,['69.31092000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,deffd162-e590-405b-968c-df84b5e8ac55,2025-09-21 19:00:00+00:00,2025-09-21 19:00:00+00:00
O-20250921-220000-001-000-42,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-040,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-391,MARKET,SELL,1.00000000,GTC,True,False,1.00000000,TAKER,115541.0,0.0,['69.32460000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c063d0c2-0b79-4f3d-aad1-7fb960e3ea6b,2025-09-21 22:00:00+00:00,2025-09-21 22:00:00+00:00
O-20250921-230000-001-000-43,BACKTESTER-001,AIAdaptiveStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-041,BTC/USD.KRAKEN-AIAdaptiveStrategy-000,KRAKEN-001,KRAKEN-1-393,MARKET,BUY,1.00000000,GTC,False,False,1.00000000,TAKER,115298.9,0.0,['69.17934000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,226bd7f4-4f56-4fce-ae02-b1a06fd64c64,2025-09-21 23:00:00+00:00,2025-09-21 23:00:00+00:00
